seq	wave	priority	lane	storefront_status	handle	title_en	product_url	draft_packet04	translation_mode	source_capture	translation_1to1	completeness_check	import_to_test	visual_qa	notes
129	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	sicilian-neroli-cashmere-fragrance-oil-1	Sicilian neroli & cashmere fragrance oil	https://aromawax.eu/products/sicilian-neroli-cashmere-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Resolved 2026-04-16: sample handle migrated from winter-pines-velvet-petals-fragrance-oil-1 to sicilian-neroli-cashmere-fragrance-oil-1 with redirect; live source identity aligned to Sicilian Neroli & Cashmere. Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
130	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	smoky-myrrh-sage-fragrance-oil-1	Smoky myrrh & sage fragrance oil	https://aromawax.eu/products/smoky-myrrh-sage-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
131	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	spiced-apple-cinnamon-fragrance-oil-2	Spiced apple & cinnamon fragrance oil	https://aromawax.eu/products/spiced-apple-cinnamon-fragrance-oil-2	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
132	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	suede-leather-orris-fragrance-oil-1	Suede leather & orris fragrance oil	https://aromawax.eu/products/suede-leather-orris-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
133	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	sweet-amber-smoke-fragrance-oil	Sweet amber & smoke fragrance oil	https://aromawax.eu/products/sweet-amber-smoke-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
134	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	tobacco-vanilla-fragrance-oil-1	Tobacco & vanilla fragrance oil	https://aromawax.eu/products/tobacco-vanilla-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
135	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	tomato-leaf-fragrance-oil-1	Tomato leaf fragrance oil	https://aromawax.eu/products/tomato-leaf-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
136	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	vanilla-patchouli-fragrance-oil	Vanilla & patchouli fragrance oil	https://aromawax.eu/products/vanilla-patchouli-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
137	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	vanilla-cream-fragrance-oil-1	Vanilla cream fragrance oil	https://aromawax.eu/products/vanilla-cream-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
138	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	very-gingerbread-fragrance-oil-1	Very gingerbread fragrance oil	https://aromawax.eu/products/very-gingerbread-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
139	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	very-mango-fragrance-oil	Very mango fragrance oil	https://aromawax.eu/products/very-mango-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
140	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	wild-fern-moss-fragrance-oil-1	Wild fern & moss fragrance oil	https://aromawax.eu/products/wild-fern-moss-fragrance-oil-1	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
141	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	wild-strawberry-cream-silk-fragrance-oil	Wild strawberry, cream & silk fragrance oil	https://aromawax.eu/products/wild-strawberry-cream-silk-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
142	Wave 06	P4	sample_fragrance_oils	UNLISTED_SAMPLE	winter-pines-velvet-petals-fragrance-oil	Winter pines & velvet petals fragrance oil	https://aromawax.eu/products/winter-pines-velvet-petals-fragrance-oil	YES	FULL_REWRITE_1_TO_1	CAPTURED	DRAFTED	LOCAL_PASS	TEST_PASS	VISUAL_PASS	Wave 06 1:1 rewrite drafted in data/translation/pt-PT/pdp-wave-06-1to1-rewrite.md Wave 06 targeted PRODUCT import verified 2026-04-16; no descriptionHtml/body_html writes.
